YEAR,WIN_PCT,FGA,FG_PCT,FG3A,FG3_PCT,FT_PCT,REB,AST,PF,STL,BLK,PTS
2009-10,0.146,76.7560975609756,0.429,12.439024390243905,0.314,0.72,38.41463414634146,18.78048780487805,19.0609756097561,5.719512195121951,3.658536585365854,92.3780487804878
2010-11,0.207,75.84146341463415,0.43,11.292682926829269,0.316,0.692,38.6219512195122,18.841463414634145,18.951219512195124,5.585365853658536,4.0,91.8780487804878
2011-12,0.106,77.06060606060606,0.414,11.772727272727272,0.295,0.66,38.78787878787879,18.545454545454547,16.803030303030305,5.909090909090909,3.939393939393939,86.95454545454545
2012-13,0.244,77.41463414634147,0.425,13.5,0.305,0.692,38.609756097560975,19.25609756097561,17.402439024390244,6.341463414634147,3.5853658536585367,93.17073170731707
2013-14,0.183,76.48780487804878,0.432,13.98780487804878,0.312,0.67,36.8780487804878,18.865853658536587,18.20731707317073,5.536585365853658,3.6219512195121952,93.65853658536584
2014-15,0.195,77.1951219512195,0.408,14.914634146341465,0.318,0.676,39.1219512195122,19.82926829268293,17.76829268292683,6.085365853658536,3.5853658536585367,91.89024390243902
2015-16,0.122,80.40243902439025,0.414,15.573170731707316,0.317,0.668,41.24390243902439,18.02439024390244,17.475609756097562,5.695121951219512,3.707317073170732,97.34146341463416
2016-17,0.244,79.45121951219512,0.435,21.01219512195122,0.327,0.706,38.573170731707314,18.5,16.585365853658537,6.573170731707317,3.7439024390243913,97.91463414634148
2017-18,0.256,82.78048780487805,0.435,22.5,0.334,0.714,39.84146341463415,19.5,17.170731707317074,6.243902439024391,3.524390243902439,98.82926829268293
2018-19,0.207,84.4390243902439,0.433,25.25609756097561,0.329,0.695,40.3780487804878,20.07317073170732,18.134146341463413,6.109756097560975,2.3780487804878048,103.53658536585364
2019-20,0.231,84.38356164383562,0.434,28.02739726027397,0.333,0.694,41.71212121212121,20.60810810810811,18.27692307692308,6.083333333333333,3.246153846153846,102.87692307692308
2020-21,0.236,83.73611111111111,0.429,28.416666666666668,0.336,0.725,41.40277777777778,21.26388888888889,17.180555555555557,6.25,3.9722222222222223,103.83333333333331
2021-22,0.244,84.53658536585365,0.43,28.82926829268293,0.323,0.713,42.02439024390244,21.865853658536587,17.475609756097562,6.365853658536586,3.231707317073171,103.73170731707316
2022-23,0.207,83.78048780487805,0.454,28.865853658536587,0.327,0.733,38.79268292682927,22.37804878048781,17.878048780487806,6.097560975609756,2.963414634146341,109.47560975609755
2023-24,0.143,82.4,0.399,28.6,0.295,0.697,39.0,19.857142857142858,16.4,5.666666666666667,2.333333333333333,103.33333333333331
