YEAR,WIN_PCT,FGA,FG_PCT,FG3A,FG3_PCT,FT_PCT,REB,AST,PF,STL,BLK,PTS
1983-84,0.756,97.35365853658536,0.532,3.865853658536585,0.319,0.818,47.08536585365854,30.26829268292683,28.25609756097561,10.170731707317072,7.963414634146342,123.7439024390244
1984-85,0.768,97.54878048780488,0.545,5.402439024390244,0.356,0.806,48.01219512195122,31.402439024390244,29.24390243902439,10.902439024390244,8.5,120.01219512195122
1985-86,0.817,95.95121951219512,0.522,5.439024390243903,0.351,0.798,46.426829268292686,29.670731707317078,27.646341463414632,10.51219512195122,8.731707317073171,117.29268292682929
1986-87,0.793,96.96341463414636,0.517,7.963414634146342,0.367,0.808,47.48780487804878,29.60975609756097,28.695121951219512,10.304878048780488,8.353658536585366,117.89024390243902
1987-88,0.756,97.08536585365852,0.521,8.597560975609756,0.384,0.804,46.78048780487805,29.853658536585368,29.02439024390244,10.146341463414634,7.646341463414634,116.7439024390244
1988-89,0.768,99.26829268292684,0.502,13.98780487804878,0.379,0.821,47.36585365853659,28.32926829268293,26.25609756097561,11.71951219512195,7.841463414634147,118.6219512195122
1989-90,0.768,97.7439024390244,0.505,10.378048780487806,0.407,0.832,47.64634146341464,29.54878048780488,25.890243902439025,10.073170731707316,6.7560975609756095,116.26829268292684
1990-91,0.768,108.14634146341464,0.512,12.914634146341465,0.377,0.824,49.39024390243903,27.48780487804878,27.25609756097561,10.902439024390244,7.317073170731708,119.85365853658536
1991-92,0.817,92.4390243902439,0.508,12.25609756097561,0.381,0.808,47.609756097560975,29.24390243902439,26.0609756097561,10.524390243902438,7.573170731707317,118.6829268292683
1992-93,0.756,89.54878048780488,0.497,13.353658536585366,0.381,0.802,46.707317073170735,28.646341463414632,28.07317073170732,11.51219512195122,6.902439024390244,113.39024390243902
1993-94,0.768,90.57317073170732,0.492,15.670731707317072,0.368,0.785,47.02439024390244,27.57317073170732,24.682926829268293,12.841463414634148,8.365853658536585,108.2439024390244
1994-95,0.756,89.53658536585365,0.512,21.42682926829268,0.397,0.781,48.13414634146341,27.817073170731707,26.24390243902439,11.182926829268292,7.134146341463414,110.86585365853658
1995-96,0.878,90.6219512195122,0.488,24.865853658536587,0.407,0.777,46.98780487804878,26.085365853658537,26.317073170731707,10.75609756097561,7.280487804878049,105.1829268292683
1996-97,0.841,86.47560975609755,0.504,22.74390243902439,0.428,0.778,46.170731707317074,26.817073170731707,24.79268292682927,11.024390243902438,7.012195121951219,103.14634146341464
1997-98,0.756,84.5609756097561,0.49,20.365853658536587,0.396,0.773,45.86585365853659,25.902439024390244,26.865853658536587,12.03658536585366,8.085365853658537,105.51219512195122
1998-99,0.74,86.54,0.468,18.86,0.373,0.796,47.5,24.98,25.4,10.84,7.02,100.18
1999-00,0.817,88.8780487804878,0.47,20.195121951219512,0.392,0.811,47.01219512195122,26.890243902439025,27.10975609756097,9.695121951219512,7.536585365853658,104.96341463414636
2000-01,0.707,87.5,0.471,19.914634146341463,0.407,0.796,45.53658536585366,25.73170731707317,25.695121951219512,9.670731707317072,7.024390243902439,101.7439024390244
2001-02,0.744,85.40243902439025,0.469,23.73170731707317,0.388,0.806,46.670731707317074,24.37804878048781,24.036585365853657,9.670731707317072,6.890243902439025,105.23170731707316
2002-03,0.732,85.2439024390244,0.468,26.28048780487805,0.383,0.829,46.707317073170735,25.646341463414632,25.07317073170732,10.292682926829269,6.451219512195122,102.97560975609755
